video_name,video_path,action,label
v_BodyWeightSquats_g11_c03,BodyWeightSquats/v_BodyWeightSquats_g11_c03.avi,BodyWeightSquats,0
v_BodyWeightSquats_g16_c04,BodyWeightSquats/v_BodyWeightSquats_g16_c04.avi,BodyWeightSquats,0
v_BodyWeightSquats_g09_c01,BodyWeightSquats/v_BodyWeightSquats_g09_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g16_c02,BodyWeightSquats/v_BodyWeightSquats_g16_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g24_c01,BodyWeightSquats/v_BodyWeightSquats_g24_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g25_c01,BodyWeightSquats/v_BodyWeightSquats_g25_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g20_c01,BodyWeightSquats/v_BodyWeightSquats_g20_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g20_c04,BodyWeightSquats/v_BodyWeightSquats_g20_c04.avi,BodyWeightSquats,0
v_BodyWeightSquats_g23_c03,BodyWeightSquats/v_BodyWeightSquats_g23_c03.avi,BodyWeightSquats,0
v_BodyWeightSquats_g16_c01,BodyWeightSquats/v_BodyWeightSquats_g16_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g08_c02,BodyWeightSquats/v_BodyWeightSquats_g08_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g22_c03,BodyWeightSquats/v_BodyWeightSquats_g22_c03.avi,BodyWeightSquats,0
v_BodyWeightSquats_g07_c03,BodyWeightSquats/v_BodyWeightSquats_g07_c03.avi,BodyWeightSquats,0
v_BodyWeightSquats_g20_c05,BodyWeightSquats/v_BodyWeightSquats_g20_c05.avi,BodyWeightSquats,0
v_BodyWeightSquats_g25_c07,BodyWeightSquats/v_BodyWeightSquats_g25_c07.avi,BodyWeightSquats,0
v_BodyWeightSquats_g18_c02,BodyWeightSquats/v_BodyWeightSquats_g18_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g09_c02,BodyWeightSquats/v_BodyWeightSquats_g09_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g17_c03,BodyWeightSquats/v_BodyWeightSquats_g17_c03.avi,BodyWeightSquats,0
v_BodyWeightSquats_g22_c04,BodyWeightSquats/v_BodyWeightSquats_g22_c04.avi,BodyWeightSquats,0
v_BodyWeightSquats_g01_c02,BodyWeightSquats/v_BodyWeightSquats_g01_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g03_c04,BodyWeightSquats/v_BodyWeightSquats_g03_c04.avi,BodyWeightSquats,0
v_BodyWeightSquats_g14_c02,BodyWeightSquats/v_BodyWeightSquats_g14_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g07_c02,BodyWeightSquats/v_BodyWeightSquats_g07_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g21_c01,BodyWeightSquats/v_BodyWeightSquats_g21_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g15_c04,BodyWeightSquats/v_BodyWeightSquats_g15_c04.avi,BodyWeightSquats,0
v_BodyWeightSquats_g02_c01,BodyWeightSquats/v_BodyWeightSquats_g02_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g21_c04,BodyWeightSquats/v_BodyWeightSquats_g21_c04.avi,BodyWeightSquats,0
v_BodyWeightSquats_g11_c04,BodyWeightSquats/v_BodyWeightSquats_g11_c04.avi,BodyWeightSquats,0
v_BodyWeightSquats_g17_c01,BodyWeightSquats/v_BodyWeightSquats_g17_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g07_c01,BodyWeightSquats/v_BodyWeightSquats_g07_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g04_c02,BodyWeightSquats/v_BodyWeightSquats_g04_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g01_c04,BodyWeightSquats/v_BodyWeightSquats_g01_c04.avi,BodyWeightSquats,0
v_BodyWeightSquats_g17_c04,BodyWeightSquats/v_BodyWeightSquats_g17_c04.avi,BodyWeightSquats,0
v_BodyWeightSquats_g10_c02,BodyWeightSquats/v_BodyWeightSquats_g10_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g18_c03,BodyWeightSquats/v_BodyWeightSquats_g18_c03.avi,BodyWeightSquats,0
v_BodyWeightSquats_g23_c02,BodyWeightSquats/v_BodyWeightSquats_g23_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g05_c01,BodyWeightSquats/v_BodyWeightSquats_g05_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g25_c02,BodyWeightSquats/v_BodyWeightSquats_g25_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g02_c02,BodyWeightSquats/v_BodyWeightSquats_g02_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g25_c04,BodyWeightSquats/v_BodyWeightSquats_g25_c04.avi,BodyWeightSquats,0
v_BodyWeightSquats_g21_c03,BodyWeightSquats/v_BodyWeightSquats_g21_c03.avi,BodyWeightSquats,0
v_BodyWeightSquats_g09_c07,BodyWeightSquats/v_BodyWeightSquats_g09_c07.avi,BodyWeightSquats,0
v_BodyWeightSquats_g10_c03,BodyWeightSquats/v_BodyWeightSquats_g10_c03.avi,BodyWeightSquats,0
v_BodyWeightSquats_g25_c03,BodyWeightSquats/v_BodyWeightSquats_g25_c03.avi,BodyWeightSquats,0
v_BodyWeightSquats_g12_c03,BodyWeightSquats/v_BodyWeightSquats_g12_c03.avi,BodyWeightSquats,0
v_BodyWeightSquats_g21_c02,BodyWeightSquats/v_BodyWeightSquats_g21_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g12_c02,BodyWeightSquats/v_BodyWeightSquats_g12_c02.avi,BodyWeightSquats,0
v_BodyWeightSquats_g18_c01,BodyWeightSquats/v_BodyWeightSquats_g18_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g12_c01,BodyWeightSquats/v_BodyWeightSquats_g12_c01.avi,BodyWeightSquats,0
v_BodyWeightSquats_g20_c02,BodyWeightSquats/v_BodyWeightSquats_g20_c02.avi,BodyWeightSquats,0
v_HandStandPushups_g24_c01,HandstandPushups/v_HandStandPushups_g24_c01.avi,HandstandPushups,1
v_HandStandPushups_g09_c04,HandstandPushups/v_HandStandPushups_g09_c04.avi,HandstandPushups,1
v_HandStandPushups_g25_c05,HandstandPushups/v_HandStandPushups_g25_c05.avi,HandstandPushups,1
v_HandStandPushups_g10_c02,HandstandPushups/v_HandStandPushups_g10_c02.avi,HandstandPushups,1
v_HandStandPushups_g19_c02,HandstandPushups/v_HandStandPushups_g19_c02.avi,HandstandPushups,1
v_HandStandPushups_g21_c02,HandstandPushups/v_HandStandPushups_g21_c02.avi,HandstandPushups,1
v_HandStandPushups_g01_c02,HandstandPushups/v_HandStandPushups_g01_c02.avi,HandstandPushups,1
v_HandStandPushups_g04_c03,HandstandPushups/v_HandStandPushups_g04_c03.avi,HandstandPushups,1
v_HandStandPushups_g04_c01,HandstandPushups/v_HandStandPushups_g04_c01.avi,HandstandPushups,1
v_HandStandPushups_g11_c06,HandstandPushups/v_HandStandPushups_g11_c06.avi,HandstandPushups,1
